,Rank,Team/NOC,Gold,Silver,Bronze,Total,Rank by Total
0,1,People's Republic of China,32,22,16,70,2
1,2,United States of America,25,30,22,77,1
2,3,Japan,21,7,12,40,5
3,4,Great Britain,15,18,15,48,4
4,5,Australia,15,4,17,36,6
5,6,ROC,14,21,18,53,3
6,7,Germany,8,8,16,32,7
7,8,France,6,10,9,25,9
8,9,Italy,6,9,15,30,8
9,10,Netherlands,6,8,9,23,10
10,11,Republic of Korea,6,4,9,19,11
11,12,New Zealand,6,4,5,15,12
12,13,Cuba,5,3,4,12,15
13,14,Hungary,4,5,3,12,15
14,15,Brazil,4,3,8,15,12
15,16,Czech Republic,4,3,1,8,22
16,17,Canada,3,4,7,14,14
17,18,Switzerland,3,4,5,12,15
18,19,Poland,3,3,4,10,20
19,20,Croatia,3,3,2,8,22
20,21,Sweden,2,5,0,7,24
21,22,Chinese Taipei,2,4,5,11,18
22,23,Georgia,2,4,1,7,24
23,24,Denmark,2,2,3,7,24
24,25,Norway,2,2,1,5,29
25,26,Jamaica,2,1,2,5,29
26,27,Islamic Republic of Iran,2,1,1,4,34
27,27,Slovenia,2,1,1,4,34
28,29,Ecuador,2,1,0,3,39
29,30,Greece,2,0,1,3,39
30,30,Uzbekistan,2,0,1,3,39
31,32,Kosovo,2,0,0,2,60
32,32,Qatar,2,0,0,2,60
33,34,Spain,1,4,5,10,20
34,35,Romania,1,3,0,4,34
35,35,Venezuela,1,3,0,4,34
36,37,Ukraine,1,2,8,11,18
37,38,Kenya,1,2,2,5,29
38,39,"Hong Kong, China",1,2,0,3,39
39,39,South Africa,1,2,0,3,39
40,39,Slovakia,1,2,0,3,39
41,42,Serbia,1,1,4,6,27
42,43,Austria,1,1,3,5,29
43,43,Indonesia,1,1,3,5,29
44,45,Belgium,1,1,1,3,39
45,45,Ethiopia,1,1,1,3,39
46,45,Uganda,1,1,1,3,39
47,48,Philippines,1,1,0,2,60
48,48,Tunisia,1,1,0,2,60
49,50,Turkey,1,0,5,6,27
50,51,Ireland,1,0,2,3,39
51,51,Israel,1,0,2,3,39
52,53,Belarus,1,0,1,2,60
53,53,Estonia,1,0,1,2,60
54,53,Fiji,1,0,1,2,60
55,53,Latvia,1,0,1,2,60
56,57,Bermuda,1,0,0,1,71
57,57,Morocco,1,0,0,1,71
58,57,Puerto Rico,1,0,0,1,71
59,57,Thailand,1,0,0,1,71
60,61,Armenia,0,2,1,3,39
61,61,Colombia,0,2,1,3,39
62,61,Dominican Republic,0,2,1,3,39
63,61,Kyrgyzstan,0,2,1,3,39
64,65,India,0,1,2,3,39
65,65,Mongolia,0,1,2,3,39
66,65,Portugal,0,1,2,3,39
67,68,Bulgaria,0,1,1,2,60
68,68,Nigeria,0,1,1,2,60
69,68,San Marino,0,1,1,2,60
70,71,Jordan,0,1,0,1,71
71,71,North Macedonia,0,1,0,1,71
72,71,Namibia,0,1,0,1,71
73,71,Turkmenistan,0,1,0,1,71
74,75,Kazakhstan,0,0,4,4,34
75,76,Azerbaijan,0,0,3,3,39
76,76,Egypt,0,0,3,3,39
77,76,Mexico,0,0,3,3,39
78,79,Argentina,0,0,1,1,71
79,79,Côte d'Ivoire,0,0,1,1,71
80,79,Finland,0,0,1,1,71
81,79,Ghana,0,0,1,1,71
82,79,Kuwait,0,0,1,1,71
83,79,Malaysia,0,0,1,1,71
84,79,Syrian Arab Republic,0,0,1,1,71
